"Type"	"File"	"Click"	"X"	"Y"	"R"	"G"	"B"	"Annotation"
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"1"	"185"	"1103"	"69"	"15"	"72"	""
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"2"	"208"	"1127"	"70"	"4"	"84"	""
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"3"	"193"	"1040"	"60"	"0"	"68"	""
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"4"	"230"	"1003"	"66"	"9"	"83"	""
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"5"	"209"	"1017"	"48"	"0"	"71"	""
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"6"	"280"	"1120"	"66"	"5"	"69"	""
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"7"	"250"	"1101"	"61"	"4"	"73"	""
"Cancer"	"Slide1.mrxs_-_y0012_x0018.png"	"8"	"282"	"1192"	"79"	"12"	"86"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"1"	"1181"	"627"	"69"	"2"	"71"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"2"	"1164"	"604"	"49"	"4"	"61"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"3"	"1153"	"610"	"63"	"7"	"70"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"4"	"1138"	"629"	"60"	"1"	"65"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"5"	"1146"	"639"	"68"	"8"	"82"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"6"	"1145"	"653"	"52"	"4"	"64"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"7"	"1134"	"659"	"81"	"7"	"82"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"8"	"1103"	"676"	"60"	"8"	"70"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"9"	"1091"	"676"	"65"	"7"	"68"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"10"	"1075"	"665"	"59"	"7"	"73"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"11"	"1076"	"623"	"70"	"6"	"56"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"12"	"1060"	"617"	"58"	"5"	"61"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"13"	"972"	"693"	"134"	"37"	"134"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"14"	"983"	"711"	"71"	"7"	"81"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"15"	"1015"	"756"	"61"	"3"	"77"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"16"	"1120"	"793"	"67"	"0"	"70"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"17"	"1144"	"840"	"78"	"2"	"77"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"18"	"1150"	"819"	"71"	"7"	"81"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"19"	"1029"	"1076"	"83"	"9"	"84"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"20"	"1041"	"1089"	"69"	"4"	"72"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"21"	"1048"	"1127"	"54"	"0"	"60"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"22"	"966"	"1100"	"62"	"3"	"71"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"23"	"941"	"1108"	"52"	"3"	"58"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"24"	"890"	"1133"	"65"	"7"	"68"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"25"	"792"	"1157"	"63"	"1"	"64"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"26"	"727"	"1134"	"64"	"3"	"63"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"27"	"718"	"1159"	"69"	"3"	"67"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"28"	"702"	"1155"	"56"	"8"	"58"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"29"	"667"	"1142"	"46"	"3"	"56"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"30"	"639"	"1148"	"56"	"6"	"69"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"31"	"638"	"1176"	"104"	"21"	"113"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"32"	"654"	"1171"	"71"	"0"	"69"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"33"	"1200"	"1005"	"89"	"7"	"81"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"34"	"1208"	"1042"	"75"	"9"	"83"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"35"	"1189"	"934"	"54"	"1"	"71"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"36"	"1198"	"958"	"68"	"6"	"73"	""
"Cancer"	"Slide1.mrxs_-_y0022_x0027.png"	"37"	"1132"	"238"	"96"	"13"	"85"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"1"	"692"	"761"	"121"	"52"	"133"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"2"	"771"	"771"	"99"	"38"	"135"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"3"	"725"	"867"	"82"	"15"	"122"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"4"	"709"	"906"	"111"	"45"	"132"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"5"	"745"	"975"	"114"	"42"	"131"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"6"	"731"	"997"	"137"	"78"	"164"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"7"	"669"	"982"	"111"	"53"	"140"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"8"	"645"	"995"	"118"	"54"	"144"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"9"	"635"	"1008"	"114"	"46"	"133"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"10"	"597"	"1046"	"113"	"58"	"143"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"11"	"595"	"1069"	"137"	"74"	"156"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"12"	"579"	"1061"	"102"	"40"	"126"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"13"	"566"	"1053"	"107"	"44"	"134"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"14"	"547"	"1063"	"120"	"55"	"144"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"15"	"483"	"1007"	"89"	"24"	"114"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"16"	"467"	"1023"	"93"	"30"	"114"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"17"	"486"	"1038"	"99"	"34"	"123"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"18"	"883"	"908"	"38"	"3"	"46"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"19"	"626"	"625"	"65"	"13"	"77"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"20"	"485"	"1007"	"98"	"32"	"120"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"21"	"569"	"1089"	"107"	"39"	"133"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"22"	"709"	"1021"	"102"	"36"	"128"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"23"	"706"	"1047"	"135"	"65"	"149"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"24"	"743"	"1194"	"141"	"66"	"155"	""
"Cancer"	"Slide10.mrxs_-_y0025_x0000.png"	"25"	"857"	"796"	"99"	"30"	"128"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"1"	"654"	"251"	"95"	"28"	"126"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"2"	"672"	"252"	"121"	"42"	"138"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"3"	"654"	"176"	"120"	"59"	"152"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"4"	"688"	"155"	"116"	"50"	"143"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"5"	"626"	"152"	"103"	"42"	"146"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"6"	"628"	"83"	"102"	"30"	"125"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"7"	"591"	"91"	"91"	"17"	"130"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"8"	"543"	"114"	"112"	"46"	"143"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"9"	"464"	"167"	"114"	"48"	"137"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"10"	"88"	"442"	"141"	"77"	"164"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"11"	"159"	"879"	"87"	"32"	"129"	""
